id,definition,duration,publishedAt,channelId,channelTitle,snippet.thumbnails.default.url,snippet.title,statistics.commentCount,statistics.dislikeCount,likeCount,statistics.viewCount,Channel_country,channel_description,channel_localized.description,channel_localized.title,channel_publishedAt,channel_thumbnails.default.url,channel_title,channel_commentCount,channel_subscriberCount,channel_videoCount,channel_viewCount
LG5-VH8DLrY,hd,PT3M4S,2017-04-09T16:43:28.000Z,UClOLJaDx4UT24h9x0UJ3b9w,JerichoDMZ,https://i.ytimg.com/vi/LG5-VH8DLrY/default.jpg,Bodybuilding motivation - BE THE BEST,59,56,1420,163933,CZ,"Bodybuilding motivation! Professional videos every week!
""If it is important to you, you will find a way. If not, you'll find an excuse."" 
#Bodybuilding
CONTACT for video editing: productionjericho@gmail.com","Bodybuilding motivation! Professional videos every week!
""If it is important to you, you will find a way. If not, you'll find an excuse."" 
#Bodybuilding
CONTACT for video editing: productionjericho@gmail.com",JerichoDMZ,2014-04-03T18:10:53.000Z,https://yt3.ggpht.com/-VKu7JzmuOCM/AAAAAAAAAAI/AAAAAAAAAAA/_B-f3KCjwN8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,JerichoDMZ,0,121519,179,42291001
IRnDDglkFho,hd,PT7M19S,2017-05-15T12:12:44.000Z,UCYl0C0GVHVJbUJUyJkzj5XQ,Massive Iron - Steve Shaw,https://i.ytimg.com/vi/IRnDDglkFho/default.jpg,Time to Ditch the Bodybuilding Lifestyle?,50,1,135,1893,US,Steve Shaw. Writer. Powerlifter. Muscle Builder. Man with beard.,Steve Shaw. Writer. Powerlifter. Muscle Builder. Man with beard.,Massive Iron - Steve Shaw,2010-12-22T00:24:17.000Z,https://yt3.ggpht.com/-PkwMgcRHMlA/AAAAAAAAAAI/AAAAAAAAAAA/j7eSvTJdjRY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Massive Iron - Steve Shaw,17,19360,1446,3758275
A5rO_Fa8SFw,hd,PT9M33S,2017-05-15T10:30:01.000Z,UCu-0WHJwRJqRxTBEpwoy-zw,Fede Sox,https://i.ytimg.com/vi/A5rO_Fa8SFw/default.jpg,BASTA CON IL BODYBUILDING | (Con Scheda GRATUITA),47,9,268,2988,IT,"PUBBLICAZIONE VIDEO: almeno un video garantito a settimana.

4-life natural aesthetic bodybuilder assolutamente fedele e coerente alla sua ideologia di culturismo, NBFI competitor e videomaker autodidatta.
Atleta affiliato Muscle Nutrition.
""Con mezza rep di squat urlato alla smith machine con spotter, belt, knee wraps e salva collo col 400% del tuo massimale non diventi grosso.""","PUBBLICAZIONE VIDEO: almeno un video garantito a settimana.

4-life natural aesthetic bodybuilder assolutamente fedele e coerente alla sua ideologia di culturismo, NBFI competitor e videomaker autodidatta.
Atleta affiliato Muscle Nutrition.
""Con mezza rep di squat urlato alla smith machine con spotter, belt, knee wraps e salva collo col 400% del tuo massimale non diventi grosso.""",Fede Sox,2013-10-22T21:09:22.000Z,https://yt3.ggpht.com/-uS_0ftBZ7z0/AAAAAAAAAAI/AAAAAAAAAAA/9xuc_F6puD8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Fede Sox,0,2468,25,165789
Ey9QymLzBFI,hd,PT4M10S,2017-03-10T13:54:51.000Z,UCaUP2G95XyxPozS2bEIBcUw,THE MASTER,https://i.ytimg.com/vi/Ey9QymLzBFI/default.jpg,Evolution of Bodybuilding | From 1900 To 2017,1611,694,6637,1015400,US,"The Master. 

Best celebrity videos: tribute, before and after videos, workout transformation, motivation, best moments, top lists and compilation videos.

Actors/Sportsmen/Musicians/Entertainers/Entrepreneur/Stars/Celebrities and other famous people tribute videos.","The Master. 

Best celebrity videos: tribute, before and after videos, workout transformation, motivation, best moments, top lists and compilation videos.

Actors/Sportsmen/Musicians/Entertainers/Entrepreneur/Stars/Celebrities and other famous people tribute videos.",THE MASTER,2015-12-06T10:31:37.000Z,https://yt3.ggpht.com/-7D2F1UYO87c/AAAAAAAAAAI/AAAAAAAAAAA/6efxYQXICv4/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,THE MASTER,0,92968,172,52709404
0xZN55_rRas,hd,PT4M42S,2017-02-07T14:00:00.000Z,UCmvqviNx70U0l4ZcvUAXxhA,Top 5 Best,https://i.ytimg.com/vi/0xZN55_rRas/default.jpg,10 People That Took Bodybuilding To The Extreme,55,35,407,39108,US,The best place to binge watch videos on the internet!,The best place to binge watch videos on the internet!,Top 5 Best,2016-04-14T09:39:49.000Z,https://yt3.ggpht.com/-6JImLlgG8Aw/AAAAAAAAAAI/AAAAAAAAAAA/d7g-f-9y6bc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Top 5 Best,0,1634369,280,159928766
UxAt8ybjllg,hd,PT13M6S,2017-05-15T15:18:38.000Z,UCdQopH6gZf6ZUk9TG9loapQ,Russel Orhii,https://i.ytimg.com/vi/UxAt8ybjllg/default.jpg,I Finally Hit 405lbs On Bench | Powerbuilding Workout | Bodybuilding Posing,189,13,679,12287,US,"I'm a 21 year old natural powerlifter/bodybuilder from Houston, Texas! I hope my YouTube page inspires you to  push yourself harder in and outside of the gym!","I'm a 21 year old natural powerlifter/bodybuilder from Houston, Texas! I hope my YouTube page inspires you to  push yourself harder in and outside of the gym!",Russel Orhii,2015-06-20T21:55:09.000Z,https://yt3.ggpht.com/-SAMJSdzNvbQ/AAAAAAAAAAI/AAAAAAAAAAA/SkjQ-cVGTC4/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Russel Orhii,0,68378,329,5515396
nee5kWntxAw,hd,PT10M1S,2017-05-14T16:34:17.000Z,UC3lfUABlhvgIr9WP4fliVqw,Team Commando 2 • Vlog,https://i.ytimg.com/vi/nee5kWntxAw/default.jpg,DIFFERENZE TRA FITNESS E BODYBUILDING 🏋 IL BODYBUILDING NON E' PER TUTTI,191,94,1131,19368,ZA,Secondo Canale del Team Commando dedicato a tutti i vlog!!!,Secondo Canale del Team Commando dedicato a tutti i vlog!!!,Team Commando 2 • Vlog,2014-04-13T14:27:15.000Z,https://yt3.ggpht.com/-Me46-XeSmOI/AAAAAAAAAAI/AAAAAAAAAAA/C5RpjCBQy68/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Team Commando 2 • Vlog,0,24102,48,1439199
2knVuQrz0oQ,hd,PT6M9S,2017-03-31T15:30:16.000Z,UCYC6Vcczj8v-Y5OgpEJTFBw,Fit Tuber,https://i.ytimg.com/vi/2knVuQrz0oQ/default.jpg,Full day of eating | Indian Bodybuilding Diet,1382,512,10524,363273,IN,"Welcome to Fit Tuber! I am a fitness enthusiast from India. Fitness doesn't necessarily mean making bulky muscles. To me, it is to stay healthy and feel good about our bodies. I am not the fittest person,  but I try to stay on track and constantly learn new things on the way.

On this channel, you can expect quick healthy recipes, workout tips, general health tips, motivational videos,workout videos and more!

I upload new videos every week. SUBSCRIBE to get notified when I upload a new video.


----------------------------------------------------------------------------------------------
All my videos have ENGLISH subtitles.
----------------------------------------------------------------------------------------------

Thank you for visiting!

Fit Tuber","Welcome to Fit Tuber! I am a fitness enthusiast from India. Fitness doesn't necessarily mean making bulky muscles. To me, it is to stay healthy and feel good about our bodies. I am not the fittest person,  but I try to stay on track and constantly learn new things on the way.

On this channel, you can expect quick healthy recipes, workout tips, general health tips, motivational videos,workout videos and more!

I upload new videos every week. SUBSCRIBE to get notified when I upload a new video.


----------------------------------------------------------------------------------------------
All my videos have ENGLISH subtitles.
----------------------------------------------------------------------------------------------

Thank you for visiting!

Fit Tuber",Fit Tuber,2016-08-21T11:29:01.000Z,https://yt3.ggpht.com/-dGL1rbhygKI/AAAAAAAAAAI/AAAAAAAAAAA/otuvm-8hADk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Fit Tuber,0,51689,50,1407638
NWKufHlmbEo,hd,PT4M29S,2017-05-04T10:58:57.000Z,UC_ArBsYspQEQeCZEtHCCXVg,slavvs,https://i.ytimg.com/vi/NWKufHlmbEo/default.jpg,Bodybuilding Motivation 2017 HD - The FIGHT Within,9,23,375,31506,BG,Email : slavvslavov@gmail.com,Email : slavvslavov@gmail.com,slavvs,2010-05-31T14:36:45.000Z,https://yt3.ggpht.com/-t185UXAY9Lg/AAAAAAAAAAI/AAAAAAAAAAA/-huCl-1J-A8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,slavvs,8,76092,66,33030073
mZONdAfHlCs,hd,PT5M46S,2017-04-06T17:12:17.000Z,UCHpu91a19yyLzqgO9DwdMIQ,BodybuildingPro,https://i.ytimg.com/vi/mZONdAfHlCs/default.jpg,TOP 5 Freakiest Bodybuilders In 2017,475,872,3910,1466371,0,Amazing bodybuilding channel!,Amazing bodybuilding channel!,BodybuildingPro,2016-01-21T17:02:32.000Z,https://yt3.ggpht.com/-S_k6u7EyCoc/AAAAAAAAAAI/AAAAAAAAAAA/-RCzYmqxr-A/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,BodybuildingPro,0,177941,114,108500096
bUIEKx5zZwY,sd,PT2M56S,2017-05-15T21:50:00.000Z,UCxl36j3GZ56iHw47Nrctt2w,polynesie1ere,https://i.ytimg.com/vi/bUIEKx5zZwY/default.jpg,Body building : ils ont leur ticket pour l’Australie - 14/05/2017,0,0,2,359,PF,Chaine de télévision et de radio publique de la Polynésie Française rattachée au groupe France Télévisions.,Chaine de télévision et de radio publique de la Polynésie Française rattachée au groupe France Télévisions.,polynesie1ere,2011-11-09T19:30:57.000Z,https://yt3.ggpht.com/-SX7aubrVVLQ/AAAAAAAAAAI/AAAAAAAAAAA/mUB4rRL9GBA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,polynesie1ere,1,10360,7773,5942730
